milestone,date,Level
Surveillance guidelines published,1/21/2020,National
First case of COVID-19 detected,1/23/2020,South
Flights ban and border closure with China,1/28/2020,National
Schools closed; large gatherings banned,2/2/2020,National
Warning messages to the public,2/5/2020,National
Outbreak detected in a village north of Hanoi,2/6/2020,North
First targeted lockdown in a village,2/13/2020,North
Potential transmission on aircraft dearparting from London to Hanoi,3/2/2020,North
Targeted lockdown in house blocks in downtown Hanoi,3/6/2020,North
First transmission cluster (Binh Thuan province),3/11/2020,Central
Targeted lockdown in house blocks in Binh Thuan Province,3/13/2020,Central
All air travel arrivals quarantined,3/14/2020,National
Provision of NCOVI app,3/15/2020,National
Mandatory wearing face masks,3/16/2020,National
Outbreak detected in Bach Mai,3/20/2020,North
Lockdown of Bach Mai Hospital and enhanced testing,3/28/2020,North
Outbreak detected in a bar in Ho Chi Minh City,3/20/2020,South
Contract tracing and testing of people entering the bar and their contacts,3/22/2020,South
Bans on public gatherings an non-essential businesses in HCMC,3/25/2020,South
Suspend all commercial international flights,3/25/2020,National
Ban on public gatherings and non-essential businesses,3/28/2020,National
National lockdown,4/1/2020,National
Social security packages issued by the government,4/9/2020,National
Rural areas reopen,4/16/2020,National
Provision of Bluezone app,4/18/2020,National
Living in the new normal,4/25/2020,National
Schools reopen,5/4/2020,National
Bars reopen ,6/11/2020,National
Outbreak detected in Danang (largest to date after 99 days with no local transmission),7/25/2020,Central
Ban on public gatherings in Danang,7/26/2020,Central
Danang citywide lockdown,7/28/2020,Central
Extended testing for people returning from Danang,7/29/2020,National
"Commuity search of cases, contact tracing and testing in Danang",8/1/2020,Central
Danang-linked outbreak detected Hai Duong province,8/8/2020,North
Community-based survey and testing,9/2/2020,Central
Relax lockdown in Danang,9/11/2020,Central
Reopen borders for countries with low number of SARS-CoV-2 cases,9/19/2020,National
